X,Y,OBJECTID,STOPID,STOPCODE,STOPNAME,STOPDESC,LOCATIONTYPE,STOPLAT,STOPLON,PARENTSTATION,MODE
1759588.9364,5912640.7065,416242,8378-d7347d29,8378,VICTORIA STREET/GREY STREET,,STOP,-36.91876,174.79163,,BUS
1759594.3856,5912646.1534,416243,8379-170ad10e,8379,VICTORIA STREET/GREY STREET,,STOP,-36.91871,174.79169,,BUS
1759567.8127,5912891.9319,416244,8380-bc97e67e,8380,MOUNT SMART ROAD,,STOP,-36.9165,174.79134,,BUS
1759568.7089,5912939.6391,416245,8381-0f970256,8381,MOUNT SMART ROAD,,STOP,-36.91607,174.79134,,BUS
1759954.5918,5913034.4889,416246,8382-ce17835f,8382,CURZON STREET,,STOP,-36.91515,174.79565,,BUS
1759946.365,5913023.5451,416247,8383-bbb52090,8383,CURZON STREET,,STOP,-36.91525,174.79556,,BUS
1760279.4342,5913058.3322,416248,8384-86599fdb,8384,TE PAPAPA SCHOOL,,STOP,-36.91488,174.79929,,BUS
1760202.4633,5913040.9165,416249,8385-dcc32e48,8385,TE PAPAPA SCHOOL,,STOP,-36.91505,174.79843,,BUS
1760412.8948,5913329.9499,416250,8386-1fcf1bd0,8386,STATE AVENUE,,STOP,-36.91241,174.80073,,BUS
1760426.6364,5913255.3294,416251,8387-0bf328e7,8387,STATE AVENUE,,STOP,-36.91308,174.8009,,BUS
1760397.7968,5913663.1946,416252,8388-d4345356,8388,WAITANGI ROAD/ORANGA AVENUE,,STOP,-36.90941,174.80049,,BUS
1760405.6589,5913607.5529,416253,8389-84e5a39d,8389,WAITANGI ROAD/ORANGA AVENUE,,STOP,-36.90991,174.80059,,BUS
1760205.7761,5913594.6763,416254,8390-d1bc1ac8,8390,RAWHITI ROAD SHOPS,,STOP,-36.91006,174.79835,,BUS
1760187.8947,5913591.6839,416255,8391-c42921d4,8391,RAWHITI ROAD SHOPS,,STOP,-36.91009,174.79815,,BUS
1759943.6192,5913493.0687,416256,8392-a5b3733c,8392,NAMATA ROAD/ORANGA AVENUE,,STOP,-36.91102,174.79543,,BUS
1759944.6564,5913500.8182,416257,8393-6c2da094,8393,NAMATA ROAD/ORANGA AVENUE,,STOP,-36.91095,174.79544,,BUS
1759775.2897,5913593.9038,416258,8394-fda55582,8394,NAMATA ROAD,,STOP,-36.91014,174.79352,,BUS
1759767.2505,5913592.9451,416259,8395-8a86b763,8395,NAMATA ROAD,,STOP,-36.91015,174.79343,,BUS
1759621.5859,5913524.652,416260,8396-8dcf6713,8396,ATHENS ROAD/MOANA AVENUE,,STOP,-36.91079,174.79181,,BUS
1759560.6124,5913552.4339,416261,8397-7a972ed5,8397,ATHENS ROAD/MOANA AVENUE,,STOP,-36.91055,174.79112,,BUS
1759399.1385,5913686.4282,416262,8398-13536434,8398,MOANA AVENUE ROUNDABOUT,,STOP,-36.90937,174.78928,,BUS
1759394.7463,5913689.8402,416263,8399-bdcad125,8399,MOANA AVENUE ROUNDABOUT,,STOP,-36.90934,174.78923,,BUS
1756936.9199,5917951.8671,416264,8400-67e2c850,8400,MOUNT EDEN ROAD,,STOP,-36.87135,174.76077,,BUS
1756781.9634,5917720.5491,416265,8401-9ee0a96b,8401,FICINO SCHOOL,,STOP,-36.87346,174.75908,,BUS
1756858.0556,5917736.9039,416266,8402-ac44b63f,8402,FICINO SCHOOL,,STOP,-36.8733,174.75993,,BUS
1756510.4549,5917793.248,416267,8403-04d67b79,8403,HOROEKA AVENUE,,STOP,-36.87285,174.75602,,BUS
1756556.3972,5917770.2061,416268,8404-b0f0f8aa,8404,HOROEKA AVENUE,,STOP,-36.87305,174.75654,,BUS
1756238.1526,5917871.5017,416269,8405-eba9adde,8405,VIEW ROAD/DOMINION ROAD,,STOP,-36.87219,174.75295,,BUS
1756229.9062,5917859.445,416270,8406-7607ced1,8406,VIEW ROAD/DOMINION ROAD,,STOP,-36.8723,174.75286,,BUS
1756066.4318,5917502.8608,416271,8407-e5857898,8407,STOP A VALLEY ROAD SHOPS,,STOP,-36.87554,174.7511,11435-3c216b82,BUS
1756123.6532,5917657.1869,416272,8408-2ebe0702,8408,BELLEVUE RESERVE,,STOP,-36.87414,174.75171,,BUS
1756037.8563,5917354.6679,416273,8410-6a414804,8410,STOP B VALLEY ROAD SHOPS,,STOP,-36.87688,174.75081,11435-3c216b82,BUS
1755954.8239,5917105.3693,416274,8411-27da8c3d,8411,BALLANTYNE SQUARE,,STOP,-36.87914,174.74993,,BUS
1755956.6637,5917059.8326,416275,8412-77306d11,8412,BALLANTYNE SQUARE,,STOP,-36.87955,174.74996,,BUS
1755851.775,5916736.5753,416276,8413-51b2fa12,8413,MOUNT EDEN METHODIST CHURCH,,STOP,-36.88248,174.74885,,BUS
1755871.9314,5916766.1713,416277,8414-e7c5faa2,8414,MOUNT EDEN METHODIST CHURCH,,STOP,-36.88221,174.74907,,BUS
1755795.4721,5916534.5082,416278,8415-65545ca0,8415,ST ALBANS CHURCH,,STOP,-36.88431,174.74826,,BUS
1755795.5504,5916490.1136,416279,8416-8063278c,8416,ST ALBANS CHURCH,,STOP,-36.88471,174.74827,,BUS
1755745.9993,5916364.5008,416280,8417-c5f97aa1,8417,POTTERS PARK,,STOP,-36.88585,174.74774,,BUS
1755664.7199,5916015.2832,416281,8418-58f4e77f,8418,BALMORAL SHOPS,,STOP,-36.88901,174.7469,,BUS
1755654.5134,5916042.1059,416282,8419-5d02c2ad,8419,BALMORAL SHOPS,,STOP,-36.88877,174.74678,,BUS
1755551.4244,5915621.1477,416283,8420-816efaf3,8420,HALESOWEN AVENUE,,STOP,-36.89258,174.74571,,BUS
1755582.7219,5915772.6216,416284,8421-69264ac6,8421,TELFORD AVENUE,,STOP,-36.89121,174.74603,,BUS
1755455.0704,5915275.5338,416285,8422-4aa8670e,8422,LANDSCAPE ROAD,,STOP,-36.89571,174.7447,,BUS
1755520.6574,5915547.3521,416286,8423-97153dae,8423,HALESOWEN AVENUE,,STOP,-36.89325,174.74538,,BUS
1755400.6476,5915077.8695,416287,8424-87b4d68c,8424,KINGS ROAD,,STOP,-36.8975,174.74413,,BUS
1755440.6303,5915265.8094,416288,8425-15788731,8425,LANDSCAPE ROAD,,STOP,-36.8958,174.74454,,BUS
1755291.1205,5914693.6508,416289,8426-9dd1b481,8426,LOUVAIN AVENUE,,STOP,-36.90098,174.74298,,BUS
1755379.504,5915042.7415,416290,8427-debbae1c,8427,KINGS ROAD,,STOP,-36.89782,174.7439,,BUS
1755190.3909,5914351.4439,416291,8428-082f5f3f,8428,MOUNT ROSKILL SHOPS,,STOP,-36.90408,174.74192,,BUS
1755269.9579,5914657.4131,416292,8429-c521b18d,8429,LOUVAIN AVENUE,,STOP,-36.90131,174.74275,,BUS
1755106.2323,5914037.789,416293,8430-8b225e90,8430,MEMORIAL AVENUE,,STOP,-36.90692,174.74104,,BUS
1755179.6382,5914348.3107,416294,8431-050907ba,8431,MOUNT ROSKILL SHOPS,,STOP,-36.90411,174.7418,,BUS
1755049.9203,5913833.4984,416295,8432-909f1e89,8432,DENBIGH AVENUE ROUNDABOUT,,STOP,-36.90877,174.74045,,BUS
1755098.3959,5914047.9205,416296,8433-045055d5,8433,MEMORIAL AVENUE,,STOP,-36.90683,174.74095,,BUS
1754939.2877,5913435.9783,416297,8434-ba9e596b,8434,PUKETAPAPA,,STOP,-36.91237,174.73929,,BUS
1755031.5955,5913806.087,416298,8435-bd99e259,8435,DENBIGH AVENUE ROUNDABOUT,,STOP,-36.90902,174.74025,,BUS
1754869.5801,5913180.8789,416299,8436-f5906593,8436,YOUTH STREET,,STOP,-36.91468,174.73856,,BUS
1754927.9286,5913448.3935,416300,8437-35241feb,8437,PUKETAPAPA,,STOP,-36.91226,174.73916,,BUS
1754821.0924,5913014.1786,416301,8438-c98268ba,8438,MOUNT ROSKILL FIRE STATION,,STOP,-36.91619,174.73805,,BUS
