OBJECTID,ROUTEPATTERN,AGENCYNAME,ROUTENAME,ROUTENUMBER,MODE,Shape__Length
63936,6602,PC,SYLVIA PARK TO PT CHEVALIER BEACH VIA MT ALBERT RD,66,BUS,18570.754654034
63937,6602,PC,SYLVIA PARK TO PT CHEVALIER BEACH VIA MT ALBERT RD,66,BUS,18575.5208175437
63938,6701,NZB,NEW LYNN TO OTAHUHU VIA ONEHUNGA,67A,BUS,21868.560536814
63939,6702,NZB,OTAHUHU TO NEW LYNN VIA ONEHUNGA,67A,BUS,22511.198655221
63940,6703,NZB,NEW LYNN TO ONEHUNGA ONLY,67B,BUS,13368.8689285721
63941,6704,NZB,ONEHUNGA TO NEW LYNN ONLY,67B,BUS,13632.2424683097
63942,6803,NZB,NEW LYNN TO ONEHUNGA STATION,68,BUS,12908.577370032
63943,6804,NZB,ONEHUNGA STATION TO NEW LYNN,68,BUS,13190.5721250785
63944,7005,HE,BOTANY TO BRITOMART VIA PANMURE,70,BUS,21212.0369511526
63945,7005,HE,BOTANY TO BRITOMART VIA PANMURE,70,BUS,21218.4228378547
63946,7006,HE,BRITOMART TO BOTANY VIA PANMURE,70,BUS,20626.2642903474
63947,7007,HE,ELLERSLIE TO BRITOMART,70,BUS,9739.78423867537
63948,7008,HE,PANMURE TO BOTANY,70,BUS,7772.11045952875
63949,7009,HE,PANMURE TO BRITOMART VIA ELLERSLIE,70,BUS,13562.9401739828
63950,7010,HE,BRITOMART TO HOWICK AND BOTANY VIA ELLERSLIE AND PANMURE,70H,BUS,29527.8121814613
63951,7012,HE,BRITOMART TO BOTANY VIA PANMURE (L),70,BUS,20626.2642903474
63952,7205,HE,BOTANY AND HOWICK TO BRITOMART EXPRESS VIA PANMURE AND MOTOR,72X,BUS,30605.5470697692
63953,7205,HE,BOTANY AND HOWICK TO BRITOMART EXPRESS VIA PANMURE AND MOTOR,72X,BUS,30608.2582973903
63954,7206,HE,BRITOMART TO HOWICK AND BOTANY EXPRESS VIA MOTORWAY AND PANM,72X,BUS,29305.3735687647
63955,7207,HE,"BOTANY AND HOWICK TO PANMURE VIA CHAPEL RD, COOK ST, AND PAK",72C,BUS,14994.1203176494
63956,7208,HE,"PAMURE TO HOWICK AND BOTANY VIA PAKURANGA RD, COOK ST, AND C",72C,BUS,14707.4682085688
63957,7209,HE,"BOTANY AND HOWICK TO PANMURE VIA MILLHOUSE DR, MEADOWLAND DR",72M,BUS,16957.485482478
63958,7209,HE,"BOTANY AND HOWICK TO PANMURE VIA MILLHOUSE DR, MEADOWLAND DR",72M,BUS,16954.774254857
63959,7210,HE,"PAMURE TO HOWICK AND BOTANY VIA PAKURANGA RD, MEADOWLAND DR",72M,BUS,16684.4116702984
63960,7212,HE,"PAMURE TO HOWICK AND BOTANY VIA PAKURANGA RD, COOK ST (L)",72C,BUS,14707.4682085688
63961,7214,HE,"PAMURE TO HOWICK AND BOTANY VIA PAKURANGA RD, MEADOWLAND (L)",72M,BUS,16684.4116702984
63962,7401,GBT,ONEHUNGA TO GLEN INNES VIA PANMURE,74,BUS,13492.5197741999
63963,7402,GBT,GLEN INNES TO ONEHUNGA VIA PANMURE,74,BUS,14050.5239531694
63964,7403,GBT,PANMURE TO GLEN INNES,74,BUS,4310.53626908497
63965,7501,NZB,GLEN INNES TO WYNYARD QUARTER VIA REMUERA RD,75,BUS,14604.9737329255
63966,7502,NZB,WYNYARD QUARTER TO GLEN INNES VIA REMUERA RD,75,BUS,14402.3324807946
63967,7601,NZB,GLEN INNES TO BRITOMART VIA ORAKEI,76,BUS,14509.922762875
63968,7602,NZB,BRITOMART TO GLEN INNES VIA ORAKEI,76,BUS,14538.9833964914
63969,7701,NZB,GLEN INNES TO BRITOMART VIA ST HELIERS AND TAMAKI DR,TMK,BUS,13850.9356632697
63970,7702,NZB,BRITOMART TO GLEN INNES VIA TAMAKI DR AND ST HELIERS,TMK,BUS,14108.8884802969
63971,8203,NZB,MILFORD TO MAYORAL DR VIA TAKAPUNA,82,BUS,12684.0852789732
63972,8204,NZB,MAYORAL DR TO MILFORD VIA TAKAPUNA,82,BUS,12522.3619994629
63973,8204,NZB,MAYORAL DR TO MILFORD VIA TAKAPUNA,82,BUS,12525.1708733134
63974,8208,NZB,MAYORAL DR TO BROWNS BAY VIA MILFORD AND TAKAPUNA,82,BUS,21528.9147360075
63975,8208,NZB,MAYORAL DR TO BROWNS BAY VIA MILFORD AND TAKAPUNA,82,BUS,21526.105862157
63976,8301,RTH,MASSEY UNIVERSITY TO TAKAPUNA VIA BROWNS BAY,83,BUS,23774.3559167938
63977,8302,RTH,TAKAPUNA TO MASSEY UNIVERSITY VIA BROWNS BAY,83,BUS,23634.2341512989
63978,8303,RTH,BROWNS BAY TO TAKAPUNA VIA MAIRANGI BAY AND BUSWAY,83,BUS,14466.0532287102
63979,8304,RTH,BROWNS BAY TO MASSEY UNIVERSITY VIA ALBANY STATION,83,BUS,9389.90864129423
63980,9401,RTH,BEACH HAVEN TO TAKAPUNA VIA HIGHBURY AND NORTHCOTE SHOPS,94,BUS,17138.8870708117
63981,9402,RTH,TAKAPUNA TO BEACH HAVEN VIA NORTHCOTE & HIGHBURY (FULL LOOP),94,BUS,16848.9575503784
63982,9404,RTH,TAKAPUNA TO BEACH HAVEN VIA NORTHCOTE SHOPS AND HIGHBURY,94,BUS,10312.2266051295
63983,9406,RTH,TAKAPUNA TO BEACH HAVEN & SMALES FARM CLOCKWISE (LATE NIGHT),94,BUS,21705.0975055572
63984,9408,RTH,TAKAPUNA TO BEACH HAVEN (LATE NIGHT),94,BUS,13317.0739436635
